Cliente;Placa;Ativo;Data;Data (GPRS);Velocidade (Km);Ignição;Motorista;GPS;Gprs;Localização;Endereço;Tipo do Evento;Cerca;Saida;Entrada;Pacote;Odômetro do período  (Km);Horímetro do período;Horímetro embarcado;Odômetro embarcado (Km);Bateria;Imagem;Tensão;Bloqueado
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:40:36;30/08/2025 22:40:38;0;D;-;1;1;-17.0360883,-50.144105;Avenida Jasso Ferreira Caetano -  210 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;67.09;03:55:19;00:00:00;31910.63;85 %;;13.0;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:39:36;30/08/2025 22:39:38;0;D;-;1;1;-17.0360883,-50.144105;Avenida Jasso Ferreira Caetano -  210 -  Jandaia - GO -  75950-000 -  Brasil;Ignição desligada;-;X, X, X, X;X, X, X, X;-;67.09;03:55:19;00:00:00;31910.63;85 %;;13.5;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:39:28;30/08/2025 22:39:30;6;LM;-;1;1;-17.03612,-50.1440866;Avenida Jasso Ferreira Caetano -  202 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;67.09;03:55:11;00:00:00;31910.63;84 %;;13.5;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:38:28;30/08/2025 22:38:31;28;LM;-;1;1;-17.0357783,-50.1430883;Avenida M. Antonio -  426 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;66.98;03:54:11;00:00:00;31910.36;83 %;;13.5;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:37:27;30/08/2025 22:37:30;0;LP;-;1;1;-17.03404,-50.1432333;Rua Junior Morais -  428 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;66.78;03:53:10;00:00:00;31910.08;83 %;;14.4;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:36:27;30/08/2025 22:36:31;0;LP;-;1;1;-17.0345883,-50.1446683;Avenida Jasso Ferreira Caetano -  528 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;66.62;03:52:10;00:00:00;31909.92;82 %;;14.4;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:35:28;30/08/2025 22:35:30;0;LP;-;1;1;-17.0349499,-50.1456133;Avenida Agilson F. Silva -  627 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;66.51;03:51:11;00:00:00;31909.81;81 %;;14.4;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:34:27;30/08/2025 22:34:29;4;LM;-;1;1;-17.0359183,-50.1462049;Rua Romilton R. Silva -  617 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;66.39;03:50:10;00:00:00;31909.66;80 %;;14.5;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:33:27;30/08/2025 22:33:29;16;LM;-;1;1;-17.0360566,-50.1463533;Rua Romilton R. Silva -  621 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;66.36;03:49:10;00:00:00;31909.64;79 %;;13.6;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:32:27;30/08/2025 22:32:30;0;LP;-;1;1;-17.0372816,-50.146175;Rua Leonel Franca -  476 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;66.23;03:48:10;00:00:00;31909.47;78 %;;12.9;0
