Cliente;Placa;Ativo;Data;Data (GPRS);Velocidade (Km);Ignição;Motorista;GPS;Gprs;Localização;Endereço;Tipo do Evento;Cerca;Saida;Entrada;Pacote;Odômetro do período  (Km);Horímetro do período;Horímetro embarcado;Odômetro embarcado (Km);Bateria;Imagem;Tensão;Bloqueado
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:45:53;28/08/2025 05:45:57;0;LP;-;1;1;-17.061744,-50.175179;Jandaia -  GO -  Brasil;Cabo da Bateria Violado;-;X, X, X, X;0, X, X, X;-;240.32;09:00:02;49:52:08;248.89;96 %;;14.1;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:45:45;28/08/2025 05:45:48;0;LP;-;1;1;-17.061811,-50.175108;Jandaia -  GO -  Brasil;Ignição ligada;-;X, X, X, X;0, X, X, X;-;240.31;08:59:54;49:52:01;248.89;58 %;;12.1;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:45:42;28/08/2025 05:45:44;0;D;-;1;1;-17.061811,-50.175108;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;240.31;08:59:54;49:52:01;248.89;58 %;;3.6;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:43:24;28/08/2025 05:43:26;0;D;-;1;1;-17.061811,-50.175108;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;240.31;08:59:54;49:52:01;248.89;58 %;;3.6;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:42:52;28/08/2025 05:42:54;0;D;-;0;1;-17.061811,-50.175108;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;240.31;08:59:54;49:52:01;248.89;61 %;;3.6;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:00:52;28/08/2025 05:00:54;0;D;-;1;1;-17.061811,-50.175108;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;240.31;08:59:54;49:52:01;248.89;63 %;;3.6;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 04:00:52;28/08/2025 04:00:54;0;D;-;1;1;-17.061811,-50.175108;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;240.31;08:59:54;49:52:01;248.89;67 %;;3.6;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 03:00:52;28/08/2025 03:00:55;0;D;-;1;1;-17.061811,-50.175108;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;240.31;08:59:54;49:52:01;248.89;72 %;;3.7;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 02:00:52;28/08/2025 02:00:54;0;D;-;1;1;-17.061811,-50.175108;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;240.31;08:59:54;49:52:01;248.89;77 %;;3.7;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 01:00:52;28/08/2025 01:00:58;0;D;-;1;1;-17.061811,-50.175108;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;240.31;08:59:54;49:52:01;248.89;84 %;;3.8;0
